4,1688,97130.1,0.191000 ms
19,19840,17288.6,1.046000 ms
34,41400,92702.7,3.452000 ms
49,68792,106249,22.977000 ms
64,84056,39127.3,19.901000 ms
79,107224,45779.3,72.528000 ms
94,131880,115082,103.771000 ms
109,152504,77838.5,152.580000 ms
124,173552,32592,54.291000 ms
139,194640,44879.7,177.702000 ms
154,214200,79289.1,358.427000 ms
169,233952,82955.3,471.920000 ms
184,256272,52618.4,534.502000 ms
199,284920,23631.3,26.693000 ms
214,296040,42988.1,289.763000 ms
229,327824,55618,772.697000 ms
244,346984,51811,747.422000 ms
259,367168,40825,786.581000 ms
274,391320,25642,337.572000 ms
289,403048,22205.7,193.874000 ms
310,441648,27203,376.083000 ms
350,513440,46901.9,2045.764000 ms
390,561568,86759.6,3100.632000 ms
430,615552,38757.8,3151.926000 ms
470,682616,23220,601.347000 ms
510,729320,26628.6,1200.081000 ms
550,805624,38592.5,5679.041000 ms
590,855184,48801.1,6112.714000 ms
