4,1848,15749.8,0.166000 ms
19,22456,86280.2,8.847000 ms
34,38008,124923,13.900000 ms
49,60512,54450.7,16.015000 ms
64,82384,220304,58.529000 ms
79,104256,99024.2,88.009000 ms
94,122968,92747,116.571000 ms
109,144840,59839.1,84.867000 ms
124,164816,29909.5,105.188000 ms
139,186056,33283.5,69.120000 ms
154,207928,45227.7,255.470000 ms
169,230432,56289.1,398.593000 ms
184,251672,78477.6,442.667000 ms
199,272280,40896,439.239000 ms
214,290992,37373.4,574.415000 ms
229,313496,43815.1,461.277000 ms
244,337264,29504.1,388.803000 ms
259,357240,32022,332.869000 ms
274,377848,35585.7,1017.183000 ms
289,399720,10061.1,130.108000 ms
310,429456,39441.6,682.838000 ms
350,484832,57510.4,2040.733000 ms
390,540840,35289,874.476000 ms
430,598744,40479.4,2104.149000 ms
470,656648,36071.3,2312.964000 ms
510,710760,30853.6,1857.308000 ms
550,767400,21105,1909.976000 ms
590,824672,37819.7,5003.000000 ms
