4,5096,406930,0.813000 ms
19,70736,151630,22.799000 ms
34,133976,174410,134.789000 ms
49,204416,60579.9,90.833000 ms
64,282056,94441.1,182.740000 ms
79,347696,150649,866.165000 ms
94,427736,96759.5,1065.570000 ms
109,495776,55643.8,852.628000 ms
124,573416,58778.4,889.158000 ms
139,634256,30673.1,94.628000 ms
154,702296,47131.9,220.284000 ms
169,782336,39273.4,118.719000 ms
184,852776,101385,5115.415000 ms
199,925616,137729,6317.668000 ms
214,1000856,67465.2,3980.414000 ms
229,1066496,24994.6,552.539000 ms
244,1151336,91334.2,6561.063000 ms
259,1216976,45664.9,364.277000 ms
274,1289816,51938,3320.197000 ms
289,1367456,57994.2,4423.913000 ms
310,1459832,32004.1,2977.002000 ms
350,1668472,79966.7,9853.748000 ms
390,1850712,58269.7,5074.712000 ms
430,2047352,45227.1,1848.439000 ms
470,2231992,70668.9,15039.790000 ms
510,2426232,90520.3,30923.368000 ms
550,2620472,61126.6,28183.638000 ms
590,2817112,64059.2,42151.869000 ms
