4,5096,292221,0.494000 ms
19,63536,137251,22.631000 ms
34,145976,69707.7,79.435000 ms
49,204416,83119.3,11.780000 ms
64,284456,65536.5,260.997000 ms
79,347696,46537.4,44.860000 ms
94,418136,146824,1001.606000 ms
109,495776,95432.2,1271.841000 ms
124,563816,190341,1319.972000 ms
139,636656,90680,2133.595000 ms
154,709496,106088,2033.378000 ms
169,791936,99508.7,3603.717000 ms
184,855176,27659.7,989.669000 ms
199,923216,89663.2,3871.613000 ms
214,996056,74064.3,7211.094000 ms
229,1071296,94151.5,8441.359000 ms
244,1146536,39071,1298.938000 ms
259,1209776,95145.5,10202.355000 ms
274,1277816,119681,8677.917000 ms
289,1365056,32702.2,2611.458000 ms
310,1457432,55547,6144.078000 ms
350,1658872,65193.9,6723.237000 ms
390,1850712,72080.1,14995.045000 ms
430,2047352,17447.5,969.019000 ms
470,2234392,64272.6,15464.370000 ms
510,2431032,36450.5,11157.950000 ms
550,2634872,127593,48642.754000 ms
590,2814712,53526.4,9031.385000 ms
