4,576,49307.9,0.059000 ms
19,46080,78143.9,5.042000 ms
34,102008,105772,20.714000 ms
49,187904,218935,209.894000 ms
64,192696,124351,149.139000 ms
79,269288,110908,28.996000 ms
94,353288,112651,321.919000 ms
109,407184,161728,957.205000 ms
124,392056,78518,261.760000 ms
139,500680,101467,411.385000 ms
154,550584,125806,1140.434000 ms
169,614392,139109,2133.229000 ms
184,661776,126582,1578.069000 ms
199,757664,68371,1516.297000 ms
214,782176,107809,2324.008000 ms
229,805536,94970.8,3444.364000 ms
244,873024,59779.9,899.586000 ms
259,941232,72313,2283.099000 ms
274,978552,61967.5,2003.146000 ms
289,1070616,106095,4192.072000 ms
310,1101904,58992.1,3834.290000 ms
350,1281208,52449.4,4392.654000 ms
390,1416104,62928.7,5511.035000 ms
430,1544856,93701.6,10951.201000 ms
470,1742544,76885.8,10506.358000 ms
510,1882664,69618,13525.944000 ms
550,1968760,70267.9,8418.606000 ms
590,2187464,84335.2,24360.272000 ms
