4,536,33905.7,0.058000 ms
19,54928,255469,17.587000 ms
34,101576,100212,35.852000 ms
49,164688,38458.6,7.710000 ms
64,179176,143276,193.933000 ms
79,266928,160502,425.619000 ms
94,314864,30147,8.300000 ms
109,355312,122240,474.560000 ms
124,448464,165087,1203.830000 ms
139,486640,91978.6,1194.437000 ms
154,551752,49140.2,150.854000 ms
169,628048,137927,2303.315000 ms
184,707584,137347,2838.538000 ms
199,663696,110442,2397.158000 ms
214,708760,134321,2926.417000 ms
229,828544,84676,2858.206000 ms
244,868016,101302,3177.572000 ms
259,931416,58677.8,2103.511000 ms
274,1022064,93309.4,4865.070000 ms
289,1091160,114961,4052.948000 ms
310,1126048,117472,4455.844000 ms
350,1289240,93819.8,7424.970000 ms
390,1394608,65607.4,2951.510000 ms
430,1560888,108226,9139.915000 ms
470,1644016,81279.2,13877.373000 ms
510,1873608,111914,15891.567000 ms
550,1916784,64444.7,12327.133000 ms
590,2166880,70071.1,12334.177000 ms
