4,1848,516426,0.206000 ms
19,21192,80133.5,2.464000 ms
34,39904,149101,17.165000 ms
49,61144,227233,43.575000 ms
64,83648,151681,69.570000 ms
79,103624,275670,115.130000 ms
94,126128,152010,134.657000 ms
109,145472,131121,63.698000 ms
124,162920,47835.9,57.091000 ms
139,189848,61019.9,185.561000 ms
154,207928,117488,320.926000 ms
169,231064,19632.4,31.576000 ms
184,249144,158017,608.233000 ms
199,274176,68575.5,465.936000 ms
214,294152,91045.9,499.631000 ms
229,314760,185035,890.858000 ms
244,336632,150254,943.326000 ms
259,355976,91541.5,759.758000 ms
274,377216,95788,404.266000 ms
289,400352,134949,1413.876000 ms
310,426928,119065,1332.547000 ms
350,484200,146787,1998.695000 ms
390,539576,40797.3,467.119000 ms
430,594952,57082.4,565.011000 ms
470,652856,44053.3,1505.832000 ms
510,710760,58603.9,1431.999000 ms
550,765504,74233.6,3329.876000 ms
590,823408,44880.7,1753.987000 ms
