4,1848,116362,0.174000 ms
19,21192,9897.53,0.271000 ms
34,41800,135994,17.442000 ms
49,63040,224306,40.030000 ms
64,80488,234199,60.875000 ms
79,103624,50480.8,19.038000 ms
94,124864,134828,146.735000 ms
109,145472,113374,155.367000 ms
124,168608,93627,226.703000 ms
139,187952,272915,228.378000 ms
154,209192,88166.2,309.490000 ms
169,230432,114240,387.068000 ms
184,250408,115066,499.065000 ms
199,272912,97028.1,635.618000 ms
214,291624,22496.1,72.538000 ms
229,315392,171878,863.294000 ms
244,332840,48247.6,190.803000 ms
259,356608,91191.4,547.069000 ms
274,376584,64383.2,552.290000 ms
289,397824,147534,1282.389000 ms
310,428824,71784,799.385000 ms
350,482936,81061.8,708.206000 ms
390,539576,79783.9,1871.110000 ms
430,596848,81863.2,2830.991000 ms
470,654752,63891,1613.382000 ms
510,710760,66787.1,2804.089000 ms
550,768664,126815,4822.735000 ms
590,825304,69634.9,5730.621000 ms
