4,376,119198,0.075000 ms
19,2256,179218,0.096000 ms
34,4336,125194,0.896000 ms
49,6376,118668,1.308000 ms
64,8256,214510,1.610000 ms
79,10496,64988.1,1.306000 ms
94,12256,230978,3.667000 ms
109,14176,145068,4.547000 ms
124,16216,121215,4.525000 ms
139,18336,251896,9.442000 ms
154,20336,36931.5,0.364000 ms
169,22536,337571,9.386000 ms
184,24616,120458,9.871000 ms
199,26456,105003,12.677000 ms
214,28576,123182,3.115000 ms
229,30536,120385,11.901000 ms
244,32656,185735,8.523000 ms
259,34616,216838,28.292000 ms
274,36656,86125.7,21.018000 ms
289,38616,127127,26.033000 ms
310,41592,195794,27.547000 ms
350,46912,50147.8,9.677000 ms
390,52432,48484.8,10.385000 ms
430,57992,59001.7,4.823000 ms
470,63152,190962,50.302000 ms
510,68472,110895,62.461000 ms
550,74152,75764.5,51.215000 ms
590,79632,89195,84.411000 ms
